yolov5x_float16.txt,0.532
yolov5x_float32.txt,0.533
yolov5m_float32.txt,0.491
yolov5m_int8.txt,0.479
yolov5m_float16.txt,0.489
yolov5s_int8.txt,0.422
yolov5s_float32.txt,0.431
yolov5s_float16.txt,0.430
yolov5l_float16.txt,0.523
yolov5l_float32.txt,0.523
yolov5n_int8.txt,0.335
yolov5n_float16.txt,0.343
yolov5n_float32.txt,0.344
yolov5s6_float16.txt,0.486
yolov5s6_float32.txt,0.487
yolov5n6_float16.txt,0.421
yolov5n6_int8.txt,0.407
yolov5n6_float32.txt,0.421
yolov3_float32.txt,0.517
yolov3_float16.txt,0.517
yolov3-spp_float16.txt,0.519
yolov3-spp_float32.txt,0.519
yolov3-tiny_float32.txt,0.289
yolov3-tiny_float16.txt,0.289
yolov3-tiny_int8.txt,0.288
yolov9c_float32.txt,0.529
yolov9c_float16.txt,0.529
yolov9c_int8.txt,0.514
yolov9m_float32.txt,0.515
yolov9m_int8.txt,0.508
yolov9m_float16.txt,0.515
yolov9e_float16.txt,0.551
yolov9e_float32.txt,0.551
yolov9s_float16.txt,0.465
yolov9s_float32.txt,0.465
yolov9s_int8.txt,0.458
yolov9t_int8.txt,0.370
yolov9t_float16.txt,0.380
yolov9t_float32.txt,0.380
yolov10b_float16.txt,0.523
yolov10b_float32.txt,0.524
yolov10x_float32.txt,0.543
yolov10x_float16.txt,0.543
yolov10m_float16.txt,0.510
yolov10m_float32.txt,0.510
yolov10s_float32.txt,0.462
yolov10s_int8.txt,0.004
yolov10s_float16.txt,0.462
yolov10l_float16.txt,0.530
yolov10l_float32.txt,0.530
yolov10n_float16.txt,0.385
yolov10n_float32.txt,0.385
yolov8x_float16.txt,0.540
yolov8x_float32.txt,0.540
yolov8m_int8.txt,0.496
yolov8m_float32.txt,0.503
yolov8m_float16.txt,0.503
yolov8s_int8.txt,0.445
yolov8s_float16.txt,0.449
yolov8s_float32.txt,0.450
yolov8l_float16.txt,0.529
yolov8l_float32.txt,0.530
yolov8n_int8.txt,0.363
yolov8n_float16.txt,0.373
yolov8n_float32.txt,0.374
yolo11x_float16.txt,0.546
yolo11x_float32.txt,0.546
yolo11m_float32.txt,0.515
yolo11m_float16.txt,0.515
yolo11s_float32.txt,0.469
yolo11s_float16.txt,0.469
yolo11l_float32.txt,0.533
yolo11l_float16.txt,0.533
yolo11n_float16.txt,0.393
yolo11n_float32.txt,0.394
